Survey Name,"compassion",Install Id,"095f6064-b61b-4c47-9b65-ce55f71a8de1"
Author,"Ilaria Colpizzi"
Subject ID,"vi_le_2002_08_06_589_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T10:23:31+0200,2022-04-02T10:25:30+0200,5,2,2,3,4,4,4,6,4,3,5,5,4
,,2022-04-02T10:23:46+0200,2022-04-02T10:24:42+0200,2022-04-02T10:25:09+0200,2022-04-02T10:25:00+0200,2022-04-02T10:24:37+0200,2022-04-02T10:24:20+0200,2022-04-02T10:25:06+0200,2022-04-02T10:25:19+0200,2022-04-02T10:24:34+0200,2022-04-02T10:24:51+0200,2022-04-02T10:25:26+0200,2022-04-02T10:23:55+0200,2022-04-02T10:24:56+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T17:07:07+0200,2022-04-02T17:07:52+0200,4,3,2,3,4,5,4,5,4,4,4,4,4
,,2022-04-02T17:07:13+0200,2022-04-02T17:07:16+0200,2022-04-02T17:07:33+0200,2022-04-02T17:07:25+0200,2022-04-02T17:07:45+0200,2022-04-02T17:07:20+0200,2022-04-02T17:07:22+0200,2022-04-02T17:07:31+0200,2022-04-02T17:07:28+0200,2022-04-02T17:07:49+0200,2022-04-02T17:07:41+0200,2022-04-02T17:07:36+0200,2022-04-02T17:07:43+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T19:40:30+0200,2022-04-02T19:41:10+0200,4,2,2,4,4,5,3,6,5,4,4,5,5
,,2022-04-02T19:40:34+0200,2022-04-02T19:40:45+0200,2022-04-02T19:40:41+0200,2022-04-02T19:40:35+0200,2022-04-02T19:40:50+0200,2022-04-02T19:41:08+0200,2022-04-02T19:40:56+0200,2022-04-02T19:40:54+0200,2022-04-02T19:40:58+0200,2022-04-02T19:40:48+0200,2022-04-02T19:40:44+0200,2022-04-02T19:41:04+0200,2022-04-02T19:41:00+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-02T21:29:48+0200,2022-04-02T21:31:22+0200,4,2,3,4,4,4,5,6,4,3,4,4,4
,,2022-04-02T21:30:50+0200,2022-04-02T21:31:16+0200,2022-04-02T21:31:07+0200,2022-04-02T21:31:20+0200,2022-04-02T21:31:18+0200,2022-04-02T21:31:05+0200,2022-04-02T21:31:11+0200,2022-04-02T21:31:00+0200,2022-04-02T21:30:57+0200,2022-04-02T21:31:02+0200,2022-04-02T21:31:09+0200,2022-04-02T21:31:13+0200,2022-04-02T21:30:52+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-09T10:17:08+0200,2022-04-09T10:17:56+0200,2,3,3,2,3,5,4,5,4,4,4,5,3
,,2022-04-09T10:17:12+0200,2022-04-09T10:17:31+0200,2022-04-09T10:17:52+0200,2022-04-09T10:17:54+0200,2022-04-09T10:17:46+0200,2022-04-09T10:17:23+0200,2022-04-09T10:17:50+0200,2022-04-09T10:17:36+0200,2022-04-09T10:17:41+0200,2022-04-09T10:17:28+0200,2022-04-09T10:17:20+0200,2022-04-09T10:17:44+0200,2022-04-09T10:17:39+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
