Survey Name,"compassion",Install Id,"abe3d39d-9524-48f1-800f-5e464a6751de"
Author,"Ilaria Colpizzi"
Subject ID,"vi_re_1998_07_07_632_f"

Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T10:03:04+0200,2022-04-16T10:08:14+0200,3,1,1,3,4,4,4,5,5,5,3,4,4
,,2022-04-16T10:03:12+0200,2022-04-16T10:08:06+0200,2022-04-16T10:06:01+0200,2022-04-16T10:06:34+0200,2022-04-16T10:03:35+0200,2022-04-16T10:05:11+0200,2022-04-16T10:05:41+0200,2022-04-16T10:04:39+0200,2022-04-16T10:07:12+0200,2022-04-16T10:08:03+0200,2022-04-16T10:05:33+0200,2022-04-16T10:08:11+0200,2022-04-16T10:03:20+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T15:26:18+0200,2022-04-16T15:28:04+0200,4,1,1,4,4,4,2,6,4,4,2,4,4
,,2022-04-16T15:26:25+0200,2022-04-16T15:26:41+0200,2022-04-16T15:27:11+0200,2022-04-16T15:26:38+0200,2022-04-16T15:27:47+0200,2022-04-16T15:27:53+0200,2022-04-16T15:26:46+0200,2022-04-16T15:26:35+0200,2022-04-16T15:27:40+0200,2022-04-16T15:28:02+0200,2022-04-16T15:27:36+0200,2022-04-16T15:26:52+0200,2022-04-16T15:27:57+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T17:33:57+0200,2022-04-16T17:35:51+0200,4,1,1,4,4,4,4,5,3,4,3,4,5
,,2022-04-16T17:34:16+0200,2022-04-16T17:35:35+0200,2022-04-16T17:35:10+0200,2022-04-16T17:34:19+0200,2022-04-16T17:34:32+0200,2022-04-16T17:35:40+0200,2022-04-16T17:35:15+0200,2022-04-16T17:35:22+0200,2022-04-16T17:35:46+0200,2022-04-16T17:35:50+0200,2022-04-16T17:34:41+0200,2022-04-16T17:34:22+0200,2022-04-16T17:34:26+0200
Start Time,End Time,1,2,3,4,5,6,7,8,9,10,11,12,13
2022-04-16T19:51:16+0200,2022-04-16T19:52:26+0200,4,1,1,4,4,4,3,6,4,4,3,4,4
,,2022-04-16T19:51:22+0200,2022-04-16T19:52:10+0200,2022-04-16T19:52:08+0200,2022-04-16T19:51:26+0200,2022-04-16T19:51:36+0200,2022-04-16T19:51:46+0200,2022-04-16T19:52:02+0200,2022-04-16T19:52:24+0200,2022-04-16T19:51:31+0200,2022-04-16T19:51:41+0200,2022-04-16T19:51:55+0200,2022-04-16T19:52:05+0200,2022-04-16T19:52:15+0200
